,plot_id,Station_id,Treatment_2,sp_id,Elevation,log_init_height,log_LA,log_SMF,log_SRL,log_RGR_plus_1,log_ConNeigh,log_HetNeigh,Treatment_factor
151,5,5,0,57,300,1.146178983,0.515686314,0.61470097,-0.335020118,-0.656432497,-0.606328677,-0.999430093,Control
152,6,6,0,8,300,-1.240123558,-1.198159857,-0.574933277,1.006025395,-0.423000732,-0.606328677,1.97817265,Control
153,6,6,0,8,300,-0.00557581,-1.007025503,0.421367913,0.673550842,-0.774539692,-0.606328677,1.97817265,Control
154,6,6,0,10,300,1.975928271,0.52786491,-0.236191034,1.342799253,-0.711006503,-0.761289746,2.045845439,Control
155,6,6,0,11,300,2.275373448,0.577374708,0.165615837,-0.669787366,-0.559579632,-0.761289746,2.045845439,Control
156,6,6,0,17,300,0.949898694,0.282145446,0.181437985,1.623106469,-0.457544047,-0.761289746,2.045845439,Control
157,6,6,0,19,300,0.245584276,0.142180939,0.365030843,-1.182603302,-0.54381328,-0.141445467,1.775154281,Control
158,6,6,0,19,300,0.677995352,0.774643804,-0.186027324,-1.183712723,-0.546566936,-0.141445467,1.775154281,Control
159,6,6,0,19,300,-0.484766502,-1.681869751,1.281436862,-1.118904617,0.069183001,-0.141445467,1.775154281,Control
160,6,6,0,19,300,0.406282097,-0.014601979,0.652946792,-0.130097918,-0.327018852,-0.141445467,1.775154281,Control
161,6,6,0,19,300,0.717493787,-0.762144679,0.37318791,-0.915491258,-1.040623272,-0.141445467,1.775154281,Control
162,6,6,0,23,300,0.867610377,-0.350111148,-1.015755399,-0.954246898,-0.858424445,-0.451367607,1.91049986,Control
163,6,6,0,23,300,1.528465114,0.577886931,-0.630770372,0.40640272,-0.696374222,-0.451367607,1.91049986,Control
164,6,6,0,23,300,0.311535932,-1.129313169,-0.009728161,-0.183079795,-1.067687624,-0.451367607,1.91049986,Control
165,6,6,0,25,300,0.743368366,0.517589157,-0.062056183,1.179705407,0.196675159,-0.761289746,2.045845439,Control
166,6,6,0,27,300,0.051167858,-0.171748722,-0.836158989,0.457349297,-0.865567101,-0.296406537,1.84282707,Control
167,6,6,0,27,300,0.466870843,-0.086408947,-0.857022674,-0.099234432,-0.679210081,-0.296406537,1.84282707,Control
